12:57:17.577 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Random-MyAgent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Random MyAgent
12:57:17.656 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:57:17.719 CONFIG | Reading config\settings_auction.xml
12:57:17.719 CONFIG | Reading config\topology\england.xml
12:57:17.734 CONFIG | Reading tournament\MyEvent\agents.xml
12:57:49.250 CONFIG | Done in 35000 iterations; final solution cost = 10850.0
12:57:49.250 CONFIG | total cost: 7537.0
12:58:01.640 CONFIG | Wrote tournament\MyEvent\auction-Random-MyAgent.xml
12:58:02.265 INFO | LogistPlatform finished successfully!
12:58:02.265 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Random-Naive.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Random Naive
12:58:02.359 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:58:02.422 CONFIG | Reading config\settings_auction.xml
12:58:02.437 CONFIG | Reading config\topology\england.xml
12:58:02.437 CONFIG | Reading tournament\MyEvent\agents.xml
12:58:09.131 CONFIG | Done in 35000 iterations; final solution cost = 13480.5
12:58:26.799 CONFIG | Wrote tournament\MyEvent\auction-Random-Naive.xml
12:58:27.034 INFO | LogistPlatform finished successfully!
12:58:27.034 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Random-Opponent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Random Opponent
12:58:27.145 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:58:27.223 CONFIG | Reading config\settings_auction.xml
12:58:27.223 CONFIG | Reading config\topology\england.xml
12:58:27.238 CONFIG | Reading tournament\MyEvent\agents.xml
12:58:48.507 CONFIG | lowest = 0.0,  estimate * beta = -13465.756058681229 * 0.85
12:58:59.895 CONFIG | lowest = 0.0,  estimate * beta = -16529.44296192358 * 0.85
12:59:19.247 CONFIG | Done in 35000 iterations; final solution cost = 12590.0
12:59:19.263 CONFIG | total cost: 7596.0
12:59:23.893 CONFIG | Wrote tournament\MyEvent\auction-Random-Opponent.xml
12:59:24.112 INFO | LogistPlatform finished successfully!
